MODEL,DATASET,SAMPLE,LABELS,ISROAD,CLASS,PRECISION,RECALL,F1SCORE,KAPPA,TRAINTIME,PREDICTTIME,FSELECTOR,NFEATURES
RF,3,3877325,1,False,2,0.98388270227078,0.9881977865324367,0.9860355235110843,0.7853557363908833,24386.35197854042,76.56395888328552,None,143
RF,3,3877325,1,False,3,0.9535265891014264,0.9407873402944419,0.9471141290154087,0.7853557363908833,24386.35197854042,76.56395888328552,None,143
SGD,3,3877325,1,False,1,0.6000511639805577,0.6494988093260231,0.6237966065634807,0.6938753166245957,142.74230766296387,4.310999631881714,None,143
SGD,3,3877325,1,False,2,0.9811318137621385,0.9770890083599012,0.9791062378147406,0.6938753166245957,142.74230766296387,4.310999631881714,None,143
SGD,3,3877325,1,False,3,0.9049008168028004,0.9053116285102796,0.9051061760414978,0.6938753166245957,142.74230766296387,4.310999631881714,None,143
SVM,3,100000,1,False,1,0.8448598130841122,0.48549946294307195,0.616643929058663,0.7110791907469299,242.1504876613617,29.291996717453003,None,143
SVM,3,100000,1,False,2,0.9725317846491917,0.9955546033956403,0.9839085327122592,0.7110791907469299,242.1504876613617,29.291996717453003,None,143
SVM,3,100000,1,False,3,0.9829545454545454,0.8693467336683417,0.9226666666666666,0.7110791907469299,242.1504876613617,29.291996717453003,None,143
DNN,3,3877325,1,False,1,0.8646981256475463,0.5084177881154123,0.6403361930668899,0.7295863656769237,6294.893674612045,32.970996618270874,None,143
DNN,3,3877325,1,False,2,0.974171018815071,0.9953531547161888,0.9846481803492062,0.7295863656769237,6294.893674612045,32.970996618270874,None,143
DNN,3,3877325,1,False,3,0.9555570820167606,0.9021985861599325,0.9281115521900124,0.7295863656769237,6294.893674612045,32.970996618270874,None,143
XGB,2,3877325,3,False,1,0.8045023696682464,0.5067164179104477,0.6217948717948718,0.78328780522251,2312.0443971157074,140.60921669006348,None,140
XGB,2,3877325,3,False,2,0.6813946498346859,0.5387037367076576,0.6017053183371487,0.78328780522251,2312.0443971157074,140.60921669006348,None,140
XGB,2,3877325,3,False,3,0.8716918957882813,0.6728399968206025,0.7594652790238651,0.78328780522251,2312.0443971157074,140.60921669006348,None,140
XGB,2,3877325,3,False,4,0.9824521207608309,0.9950989871976926,0.9887351142581268,0.78328780522251,2312.0443971157074,140.60921669006348,None,140
XGB,2,3877325,3,False,5,0.9758931552587646,0.9477916855827226,0.9616371652299797,0.78328780522251,2312.0443971157074,140.60921669006348,None,140
RF,2,3877325,3,False,1,0.6249670792731103,0.3541791044776119,0.4521291797656473,0.7140605670796962,14701.240092515945,43.782209157943726,None,140
RF,2,3877325,3,False,2,0.49889690537236897,0.49705934770985566,0.49797643137721703,0.7140605670796962,14701.240092515945,43.782209157943726,None,140
RF,2,3877325,3,False,3,0.6859766866831508,0.6174389953103887,0.6499058774314996,0.7140605670796962,14701.240092515945,43.782209157943726,None,140
RF,2,3877325,3,False,4,0.9821939521192284,0.9886425796898051,0.9854077158672933,0.7140605670796962,14701.240092515945,43.782209157943726,None,140
RF,2,3877325,3,False,5,0.9588259000537346,0.9258058239833971,0.9420265945161184,0.7140605670796962,14701.240092515945,43.782209157943726,None,140
SGD,2,3877325,3,False,1,0.2558119730903517,0.4483582089552239,0.325760451119666,0.5742220195847716,207.02767658233643,3.902111291885376,None,140
SGD,2,3877325,3,False,2,0.4002534665275086,0.3189568110259609,0.3550104142559593,0.5742220195847716,207.02767658233643,3.902111291885376,None,140
SGD,2,3877325,3,False,3,0.3070104064065779,0.5698275176853986,0.3990315039519091,0.5742220195847716,207.02767658233643,3.902111291885376,None,140
SGD,2,3877325,3,False,4,0.9821327064107512,0.9665894034246311,0.9742990670471532,0.5742220195847716,207.02767658233643,3.902111291885376,None,140
SGD,2,3877325,3,False,5,0.9425493716337523,0.8852714183799208,0.9130129427109461,0.5742220195847716,207.02767658233643,3.902111291885376,None,140
SVM,2,100000,3,False,1,0.5,0.05202312138728324,0.09424083769633508,0.6107514120029625,208.81742191314697,24.060996294021606,None,140
SVM,2,100000,3,False,2,0.5361702127659574,0.2903225806451613,0.37668161434977576,0.6107514120029625,208.81742191314697,24.060996294021606,None,140
SVM,2,100000,3,False,3,0.7642857142857142,0.33024691358024694,0.46120689655172414,0.6107514120029625,208.81742191314697,24.060996294021606,None,140
SVM,2,100000,3,False,4,0.9674669992724249,0.9970542552621713,0.9820378234378709,0.6107514120029625,208.81742191314697,24.060996294021606,None,140
SVM,2,100000,3,False,5,0.9726027397260274,0.8919597989949749,0.9305373525557011,0.6107514120029625,208.81742191314697,24.060996294021606,None,140
DNN,2,3877325,3,False,1,0.5118685331710287,0.1255223880597015,0.2016061368812178,0.6459120362380479,4600.747226715088,27.42354655265808,None,140
DNN,2,3877325,3,False,2,0.5452608077937893,0.31919443949385135,0.4026679656761719,0.6459120362380479,4600.747226715088,27.42354655265808,None,140
DNN,2,3877325,3,False,3,0.7622903412377097,0.41904459104999603,0.5408011488947017,0.6459120362380479,4600.747226715088,27.42354655265808,None,140
DNN,2,3877325,3,False,4,0.9712829945291324,0.9964112651464502,0.9836866806264587,0.6459120362380479,4600.747226715088,27.42354655265808,None,140
DNN,2,3877325,3,False,5,0.9572649572649573,0.8934431545495817,0.9242536061724254,0.6459120362380479,4600.747226715088,27.42354655265808,None,140
DNN,3,3877325,3,False,1,0.5073649754500819,0.04626865671641791,0.08480372042128301,0.6773786868790636,5730.5813846588135,21.183000087738037,None,143
DNN,3,3877325,3,False,2,0.5221969265793966,0.4360482385789818,0.4752500890284567,0.6773786868790636,5730.5813846588135,21.183000087738037,None,143
DNN,3,3877325,3,False,3,0.6163796796025015,0.5718941260631111,0.5933041972458152,0.6773786868790636,5730.5813846588135,21.183000087738037,None,143
DNN,3,3877325,3,False,4,0.9773645334606808,0.9923031444942343,0.9847771892943384,0.6773786868790636,5730.5813846588135,21.183000087738037,None,143
DNN,3,3877325,3,False,5,0.969563986409966,0.8883844607302679,0.9272007310386842,0.6773786868790636,5730.5813846588135,21.183000087738037,None,143
XGB,3,3877325,4,False,1,0.733279582277509,0.6642206301731933,0.697043795620438,0.6291339564083755,1943.487946510315,114.6644594669342,None,143
XGB,3,3877325,4,False,2,0.6551356293812862,0.13204533587246983,0.21979089445026717,0.6291339564083755,1943.487946510315,114.6644594669342,None,143
XGB,3,3877325,4,False,3,0.9530382261694416,0.9926131355107555,0.972423200344307,0.6291339564083755,1943.487946510315,114.6644594669342,None,143
XGB,3,3877325,4,False,4,0.9740536225134722,0.9540596898214518,0.9639529907495803,0.6291339564083755,1943.487946510315,114.6644594669342,None,143
RF,3,3877325,4,False,1,0.6130302935567574,0.6819572928983794,0.6456594392584909,0.5987307737880854,12655.500631809235,119.52331328392029,None,143
RF,3,3877325,4,False,2,0.615056585205839,0.11518260281967012,0.19402907849122988,0.5987307737880854,12655.500631809235,119.52331328392029,None,143
RF,3,3877325,4,False,3,0.9531762803025478,0.984993016679832,0.9688234987775715,0.5987307737880854,12655.500631809235,119.52331328392029,None,143
RF,3,3877325,4,False,4,0.9470715550600118,0.9409618141535253,0.9440067989409342,0.5987307737880854,12655.500631809235,119.52331328392029,None,143
SGD,3,3877325,4,False,1,0.3962065113970132,0.6661681852959588,0.4968871595330739,0.5043873357036535,107.70802092552185,0.6209955215454102,None,143
SGD,3,3877325,4,False,2,0.3993558776167472,0.015234818932948367,0.02934998076866179,0.5043873357036535,107.70802092552185,0.6209955215454102,None,143
SGD,3,3877325,4,False,3,0.9515331619653078,0.96726568671223,0.9593349276524479,0.5043873357036535,107.70802092552185,0.6209955215454102,None,143
SGD,3,3877325,4,False,4,0.894553657750564,0.9044050566922976,0.8994523832669065,0.5043873357036535,107.70802092552185,0.6209955215454102,None,143
SVM,3,100000,4,False,1,0.7017114914425427,0.3873144399460189,0.4991304347826086,0.4854800094347429,1166.8909034729004,41.25902700424194,None,143
SVM,3,100000,4,False,2,0.875,0.03333333333333333,0.06422018348623854,0.4854800094347429,1166.8909034729004,41.25902700424194,None,143
SVM,3,100000,4,False,3,0.9356098068814741,0.9972812517338956,0.9654616748133427,0.4854800094347429,1166.8909034729004,41.25902700424194,None,143
SVM,3,100000,4,False,4,0.9770114942528736,0.8585858585858586,0.9139784946236559,0.4854800094347429,1166.8909034729004,41.25902700424194,None,143
DNN,3,3877325,4,False,1,0.6115978590665803,0.6239131946859567,0.6176941484325237,0.5714841522865397,12266.353521108627,19.09699583053589,None,143
DNN,3,3877325,4,False,2,0.6805467260012714,0.06576158736984365,0.11993389911211944,0.5714841522865397,12266.353521108627,19.09699583053589,None,143
DNN,3,3877325,4,False,3,0.9488265018264483,0.9890914242538723,0.9685406625651332,0.5714841522865397,12266.353521108627,19.09699583053589,None,143
DNN,3,3877325,4,False,4,0.9533842869930456,0.9022546591945784,0.9271150691352238,0.5714841522865397,12266.353521108627,19.09699583053589,None,143
XGB,1,3877325,3,False,1,0.7748054474708171,0.4755223880597015,0.5893451720310766,0.7378707157555455,1283.8296794891357,7.036999225616455,None,44
XGB,1,3877325,3,False,2,0.6927395934172313,0.4251173290560209,0.5268932003092441,0.7378707157555455,1283.8296794891357,7.036999225616455,None,44
XGB,1,3877325,3,False,3,0.8418345008756567,0.6113186551148557,0.7082930423170788,0.7378707157555455,1283.8296794891357,7.036999225616455,None,44
XGB,1,3877325,3,False,4,0.9774127031500122,0.9952454097898698,0.986248453190534,0.7378707157555455,1283.8296794891357,7.036999225616455,None,44
XGB,1,3877325,3,False,5,0.9655523157252323,0.9234710422206369,0.9440429622754093,0.7378707157555455,1283.8296794891357,7.036999225616455,None,44
RF,1,3877325,3,False,1,0.581638418079096,0.3073134328358209,0.4021484375,0.662126202595785,7550.1861090660095,46.24115562438965,None,44
RF,1,3877325,3,False,2,0.4833118833118833,0.33464028990673084,0.39546475709070483,0.662126202595785,7550.1861090660095,46.24115562438965,None,44
RF,1,3877325,3,False,3,0.6658050928585104,0.5528177410380732,0.6040734789594824,0.662126202595785,7550.1861090660095,46.24115562438965,None,44
RF,1,3877325,3,False,4,0.9754215824635849,0.9900529331484172,0.9826827985847896,0.662126202595785,7550.1861090660095,46.24115562438965,None,44
RF,1,3877325,3,False,5,0.9379365396128517,0.9144561904144237,0.9260475502430053,0.662126202595785,7550.1861090660095,46.24115562438965,None,44
SGD,1,3877325,3,False,1,0.20711589542849154,0.44223880597014925,0.2821098733695135,0.5311931591645978,73.02186298370361,0.2740001678466797,None,44
SGD,1,3877325,3,False,2,0.28746014877789583,0.19283550169310285,0.23082666666666668,0.5311931591645978,73.02186298370361,0.2740001678466797,None,44
SGD,1,3877325,3,False,3,0.3483856527334788,0.4948732215245211,0.4089058189938264,0.5311931591645978,73.02186298370361,0.2740001678466797,None,44
SGD,1,3877325,3,False,4,0.9772176185237396,0.9680992137383069,0.9726370454975993,0.5311931591645978,73.02186298370361,0.2740001678466797,None,44
SGD,1,3877325,3,False,5,0.8752277481611445,0.8411699850833387,0.8578609696408493,0.5311931591645978,73.02186298370361,0.2740001678466797,None,44
